frame_id,vehicle_id,world_x,world_y,speed,action
0,1,130,0,400,accelerate
5,1,180,200,420,swerve
10,1,250,450,450,speed_violation
15,1,390,700,480,change_lane
20,1,450,950,500,dangerous_swerve
25,1,520,1200,520,speed_violation
30,1,650,1450,540,change_lane
35,1,720,1700,560,swerve
40,1,790,1950,580,dangerous_swerve
45,1,910,2200,600,speed_violation
50,1,850,2450,550,swerve
55,1,750,2700,520,change_lane
60,1,650,2950,490,dangerous_swerve
65,1,550,3200,460,swerve
70,1,390,3450,430,change_lane
75,1,320,3700,400,swerve
80,1,250,3950,380,dangerous_swerve
85,1,130,4200,360,change_lane
90,1,80,4450,340,swerve
95,1,130,4700,380,accelerate
100,1,200,4950,420,swerve
105,1,300,5200,460,change_lane
110,1,420,5450,500,dangerous_swerve
115,1,580,5700,540,speed_violation
120,1,720,5950,580,swerve
0,2,390,50,350,maintain
5,2,450,280,380,swerve
10,2,520,530,410,change_lane
15,2,650,780,440,dangerous_swerve
20,2,780,1030,470,speed_violation
25,2,850,1280,500,swerve
30,2,910,1530,530,change_lane
35,2,850,1780,510,swerve
40,2,750,2030,480,dangerous_swerve
45,2,630,2280,450,change_lane
50,2,500,2530,420,swerve
55,2,350,2780,390,dangerous_swerve
60,2,200,3030,360,change_lane
65,2,130,3280,340,swerve
70,2,180,3530,370,accelerate
75,2,280,3780,400,swerve
80,2,420,4030,440,change_lane
85,2,580,4280,480,dangerous_swerve
90,2,720,4530,520,speed_violation
95,2,830,4780,550,swerve
100,2,910,5030,580,change_lane
105,2,850,5280,560,swerve
110,2,750,5530,530,dangerous_swerve
115,2,620,5780,500,change_lane
120,2,480,6030,470,swerve
0,3,650,100,380,maintain
5,3,720,330,410,swerve
10,3,800,580,440,change_lane
15,3,880,830,470,dangerous_swerve
20,3,910,1080,500,speed_violation
25,3,850,1330,520,swerve
30,3,750,1580,540,change_lane
35,3,620,1830,560,dangerous_swerve
40,3,480,2080,580,speed_violation
45,3,320,2330,600,swerve
50,3,180,2580,550,change_lane
55,3,130,2830,520,dangerous_swerve
60,3,200,3080,490,swerve
65,3,320,3330,460,change_lane
70,3,480,3580,430,swerve
75,3,650,3830,400,dangerous_swerve
80,3,820,4080,380,change_lane
85,3,910,4330,360,swerve
90,3,850,4580,390,accelerate
95,3,750,4830,430,swerve
100,3,620,5080,470,change_lane
105,3,480,5330,510,dangerous_swerve
110,3,320,5580,550,speed_violation
115,3,180,5830,580,swerve
120,3,130,6080,560,change_lane
0,4,910,150,420,maintain
5,4,850,380,450,swerve
10,4,750,630,480,change_lane
15,4,620,880,510,dangerous_swerve
20,4,480,1130,540,speed_violation
25,4,320,1380,570,swerve
30,4,180,1630,600,change_lane
35,4,130,1880,580,dangerous_swerve
40,4,200,2130,550,swerve
45,4,320,2380,520,change_lane
50,4,480,2630,490,swerve
55,4,650,2880,460,dangerous_swerve
60,4,820,3130,430,change_lane
65,4,910,3380,410,swerve
70,4,850,3630,440,accelerate
75,4,750,3880,480,swerve
80,4,620,4130,520,change_lane
85,4,480,4380,560,dangerous_swerve
90,4,320,4630,600,speed_violation
95,4,180,4880,580,swerve
100,4,130,5130,550,change_lane
105,4,200,5380,520,swerve
110,4,320,5630,490,dangerous_swerve
115,4,480,5880,460,change_lane
120,4,650,6130,430,swerve
0,5,200,200,360,maintain
5,5,300,430,390,swerve
10,5,450,680,420,change_lane
15,5,620,930,450,dangerous_swerve
20,5,800,1180,480,speed_violation
25,5,910,1430,510,swerve
30,5,850,1680,540,change_lane
35,5,750,1930,520,dangerous_swerve
40,5,620,2180,490,swerve
45,5,480,2430,460,change_lane
50,5,320,2680,430,swerve
55,5,180,2930,400,dangerous_swerve
60,5,130,3180,380,change_lane
65,5,200,3430,410,accelerate
70,5,320,3680,450,swerve
75,5,480,3930,490,change_lane
80,5,650,4180,530,dangerous_swerve
85,5,820,4430,570,speed_violation
90,5,910,4680,600,swerve
95,5,850,4930,580,change_lane
100,5,750,5180,550,swerve
105,5,620,5430,520,dangerous_swerve
110,5,480,5680,490,change_lane
115,5,320,5930,460,swerve
120,5,200,6180,430,change_lane
0,6,500,250,390,maintain
5,6,620,480,420,swerve
10,6,750,730,450,change_lane
15,6,880,980,480,dangerous_swerve
20,6,910,1230,510,speed_violation
25,6,850,1480,540,swerve
30,6,750,1730,570,change_lane
35,6,620,1980,550,dangerous_swerve
40,6,480,2230,520,swerve
45,6,320,2480,490,change_lane
50,6,180,2730,460,swerve
55,6,130,2980,430,dangerous_swerve
60,6,200,3230,400,change_lane
65,6,320,3480,430,accelerate
70,6,480,3730,470,swerve
75,6,650,3980,510,change_lane
80,6,820,4230,550,dangerous_swerve
85,6,910,4480,590,speed_violation
90,6,850,4730,570,swerve
95,6,750,4980,540,change_lane
100,6,620,5230,510,swerve
105,6,480,5480,480,dangerous_swerve
110,6,320,5730,450,change_lane
115,6,180,5980,420,swerve
120,6,130,6230,390,change_lane
