frame_id,vehicle_id,world_x,world_y,speed
3,6,207,913,230
4,6,206,917,239
5,6,206,921,239
6,6,207,925,241
7,6,207,929,240
8,6,207,933,244
9,6,207,937,239
10,6,208,941,234
11,6,207,945,226
12,6,207,948,224
13,6,207,952,234
14,6,208,956,231
15,6,208,960,238
16,6,209,964,246
17,6,208,968,240
18,1,52,151,160
18,6,209,972,237
19,1,51,154,169
19,6,209,976,242
20,1,51,157,167
20,6,210,980,240
21,1,51,160,166
21,6,209,985,248
22,1,51,162,163
22,6,210,989,249
23,1,50,165,159
23,6,210,993,242
24,1,49,168,160
24,6,210,997,234
25,1,48,170,161
25,6,211,1001,241
26,1,47,173,154
26,6,211,1005,232
27,1,47,176,156
27,6,211,1009,240
28,1,47,178,159
28,6,211,1013,248
29,1,48,181,156
29,6,210,1017,238
30,1,48,184,162
30,6,210,1021,234
31,1,48,186,153
31,6,210,1024,226
32,1,48,188,144
32,6,210,1028,226
33,1,47,191,137
33,6,210,1032,217
34,1,46,193,133
34,6,210,1035,218
35,1,46,195,124
35,6,210,1039,217
36,1,45,197,118
36,6,209,1043,223
37,1,45,199,120
37,6,210,1047,230
38,1,46,201,125
38,6,210,1050,224
39,1,46,203,120
39,6,210,1054,219
40,1,45,205,124
40,6,209,1058,226
41,1,45,207,120
41,6,210,1062,234
42,1,45,209,112
42,6,210,1065,228
43,1,45,211,117
43,6,210,1069,225
44,1,45,213,117
44,6,210,1073,232
45,1,46,215,113
45,6,211,1077,226
46,1,45,217,109
46,6,210,1081,222
47,1,45,219,115
47,6,210,1084,217
48,1,44,221,116
48,6,209,1088,225
49,1,45,223,122
49,6,208,1092,219
50,1,44,225,119
50,6,208,1095,217
51,1,44,227,128
51,6,208,1099,209
52,1,44,229,126
52,6,208,1102,200
53,1,44,231,126
53,6,208,1106,207
54,1,43,233,130
54,6,207,1109,201
55,1,43,235,126
55,6,207,1112,203
56,1,43,238,135
56,6,206,1116,207
57,1,43,240,126
57,6,206,1119,200
58,1,43,242,133
58,6,207,1122,194
59,1,42,244,128
59,6,207,1126,198
60,1,41,246,136
60,6,207,1129,199
61,1,40,249,139
61,6,207,1132,205
62,1,41,251,148
62,6,207,1136,209
63,1,41,254,142
63,6,208,1139,204
64,1,41,256,145
64,6,208,1143,203
65,1,42,258,136
65,6,208,1146,198
66,1,42,261,142
66,6,209,1149,196
67,1,43,263,142
67,6,209,1153,198
68,1,43,265,132
68,6,210,1156,199
69,1,44,267,129
69,4,534,908,258
69,6,211,1159,203
70,1,44,270,137
70,4,534,912,254
70,6,211,1163,208
71,1,43,272,140
71,4,534,916,246
71,6,212,1166,204
72,1,43,274,136
72,4,533,921,255
72,6,211,1170,203
73,1,43,276,131
73,4,532,925,260
73,6,212,1173,194
74,1,43,279,131
74,4,532,929,258
74,6,212,1176,185
75,1,42,281,139
75,4,533,934,264
75,6,211,1179,194
76,1,41,283,142
76,4,533,938,271
76,6,212,1182,188
77,1,42,286,143
77,4,532,943,276
77,6,212,1185,179
78,1,42,288,139
78,4,532,947,282
78,6,212,1188,178
79,1,41,290,133
79,4,532,952,284
79,6,213,1191,178
80,1,41,292,131
80,4,533,957,286
80,6,214,1194,170
81,1,42,295,132
81,4,533,962,276
81,6,214,1197,173
82,1,41,297,129
82,4,533,966,282
82,6,214,1200,180
83,1,41,299,138
83,4,533,971,280
83,6,214,1203,173
84,1,41,301,133
84,4,532,976,288
84,6,213,1206,170
85,1,40,304,131
85,4,533,981,297
85,6,213,1209,173
86,1,41,306,124
86,4,532,986,292
86,6,213,1212,175
87,1,42,308,119
87,4,532,991,296
87,6,212,1214,175
88,1,42,310,127
88,4,532,995,288
88,6,212,1217,180
89,1,43,312,133
89,4,532,1000,281
89,6,211,1220,179
90,1,44,314,134
90,4,532,1005,285
90,6,210,1223,173
91,1,44,317,140
91,4,531,1010,292
91,6,210,1226,177
92,1,44,319,148
92,4,531,1014,285
92,6,211,1229,172
93,1,44,322,155
93,4,530,1019,292
93,6,210,1232,181
94,1,45,324,151
94,4,529,1024,289
94,6,210,1235,181
95,1,45,327,153
95,4,530,1029,284
95,6,210,1238,176
96,1,44,329,143
96,4,529,1033,274
96,6,211,1241,168
97,1,43,331,142
97,4,528,1038,268
97,6,212,1244,161
98,1,44,334,144
98,4,528,1042,274
98,6,212,1246,169
99,1,43,336,151
99,4,528,1047,267
99,5,73,1995,145
99,6,212,1249,167
100,1,42,339,148
100,4,529,1051,268
100,5,74,1997,140
100,6,211,1252,165
101,1,43,341,138
101,4,528,1056,262
101,5,73,2000,134
101,6,212,1255,166
102,1,43,343,133
102,3,363,71,195
102,4,528,1060,267
102,5,73,2002,139
102,6,211,1258,164
103,1,42,346,136
103,3,363,74,191
103,4,527,1065,277
103,5,72,2004,137
103,6,211,1260,166
104,1,43,348,135
104,3,363,77,186
104,4,526,1069,274
104,5,72,2007,142
104,6,210,1263,158
105,1,43,350,138
105,3,364,80,191
105,4,526,1074,270
105,5,73,2009,142
105,6,209,1266,156
106,1,43,353,139
106,2,203,1170,142
106,3,364,83,188
106,4,526,1079,276
106,5,72,2011,140
106,6,209,1290,155
107,1,43,355,149
107,2,203,1172,137
107,3,364,87,192
107,4,526,1083,277
107,5,73,2014,136
107,6,208,1292,162
108,1,42,358,148
108,2,202,1174,143
108,3,365,90,191
108,4,526,1088,267
108,5,73,2016,130
108,6,209,1294,155
109,1,42,360,158
109,2,203,1177,147
109,3,365,93,199
109,4,525,1092,268
109,5,73,2018,134
109,6,209,1297,146
110,1,43,363,160
110,2,202,1179,148
110,3,365,96,195
110,4,524,1097,263
110,5,73,2020,132
110,6,209,1299,137
111,1,42,366,157
111,2,201,1182,157
111,3,365,100,193
111,4,524,1101,272
111,5,73,2023,133
111,6,209,1302,141
112,1,42,368,157
112,2,201,1185,159
112,3,365,103,190
112,4,524,1106,269
112,5,74,2025,138
112,6,209,1305,149
113,1,41,371,156
113,2,202,1187,157
113,3,364,106,196
113,4,525,1110,271
113,5,74,2027,144
113,6,209,1307,152
114,1,42,373,147
114,2,201,1190,154
114,3,365,109,196
114,4,526,1115,278
114,5,74,2030,145
114,6,209,1310,161
115,1,41,376,155
115,2,201,1192,150
115,3,366,113,189
115,4,526,1119,284
115,5,74,2032,142
115,6,210,1312,162
116,1,41,379,164
116,2,201,1195,156
116,3,366,116,194
116,4,526,1124,291
116,5,74,2034,145
116,6,210,1315,159
117,1,42,381,160
117,2,202,1197,151
117,3,366,119,203
117,4,526,1129,283
117,5,74,2037,147
117,6,211,1317,165
118,1,41,384,166
118,2,202,1200,142
118,3,366,123,211
118,4,527,1134,291
118,5,74,2039,149
118,6,211,1320,173
119,1,40,387,172
119,2,202,1202,147
119,3,365,126,206
119,4,526,1139,296
119,5,75,2042,144
119,6,212,1302,176
120,1,39,390,171
120,2,203,1205,147
120,3,366,130,207
120,4,527,1144,305
120,5,75,2044,151
120,6,211,1305,182
121,1,40,393,168
121,2,204,1207,142
121,3,367,133,214
121,4,527,1149,303
121,5,74,2047,141
121,6,211,1308,182
122,1,40,395,163
122,2,204,1209,139
122,3,368,137,206
122,4,527,1154,302
122,5,74,2049,138
122,6,210,1311,184
123,1,40,398,154
123,2,205,1212,147
123,3,367,140,204
123,4,528,1159,293
123,5,73,2051,134
123,6,210,1315,190
124,1,40,400,148
124,2,205,1214,152
124,3,367,143,198
124,4,528,1164,284
124,5,74,2054,139
124,6,210,1318,196
125,1,41,403,153
125,2,206,1217,153
125,3,368,147,197
125,4,528,1168,288
125,5,75,2056,138
125,6,210,1321,187
126,1,41,405,150
126,2,206,1219,147
126,3,367,150,203
126,4,528,1173,283
126,5,74,2058,147
126,6,210,1324,182
127,1,40,408,155
127,2,207,1222,148
127,3,366,153,197
127,4,529,1178,284
127,5,75,2061,148
127,6,209,1327,189
128,1,41,411,165
128,2,206,1224,138
128,3,366,157,200
128,4,528,1183,276
128,5,76,2063,154
128,6,210,1330,181
129,1,41,414,174
129,2,206,1227,144
129,3,367,160,192
129,4,529,1187,278
129,5,76,2066,155
129,6,210,1333,175
130,1,41,416,167
130,2,205,1229,137
130,3,366,163,186
130,4,529,1192,272
130,5,77,2068,147
130,6,209,1336,184
