frame_id,vehicle_id,world_x,world_y,speed
62,2,206,1178,258
63,2,206,1182,260
64,2,205,1187,257
65,2,205,1191,264
66,2,204,1196,269
67,2,205,1200,273
68,2,205,1205,280
69,2,206,1209,277
70,2,206,1214,286
71,2,206,1219,281
72,2,205,1224,279
73,2,205,1228,277
74,2,206,1233,274
75,2,206,1237,264
76,2,205,1242,274
77,2,206,1246,270
78,2,206,1251,263
79,2,207,1255,262
80,2,207,1259,261
81,2,206,1264,256
82,2,206,1268,249
83,2,205,1272,257
84,2,206,1277,265
85,2,207,1281,261
86,2,208,1285,259
87,2,208,1290,259
88,2,207,1294,265
89,2,208,1299,273
90,2,208,1303,278
91,2,209,1308,271
92,2,210,1312,277
93,2,211,1317,280
94,2,211,1322,273
95,2,212,1326,268
96,2,212,1330,265
97,2,212,1335,270
98,2,211,1340,277
99,2,212,1344,274
100,2,211,1349,281
101,2,211,1353,278
102,2,211,1358,274
103,2,211,1363,267
104,2,210,1367,271
105,2,209,1372,276
106,2,209,1376,266
107,2,209,1380,258
108,2,209,1385,248
109,2,208,1389,245
110,2,209,1393,242
111,2,209,1397,245
112,2,209,1401,246
113,2,209,1405,242
114,2,208,1409,234
115,2,208,1413,234
116,2,208,1417,243
117,2,209,1421,242
118,2,209,1425,248
119,2,209,1429,252
120,2,209,1433,245
121,2,209,1437,248
122,2,208,1442,255
123,2,208,1446,248
124,2,208,1450,239
125,2,209,1454,237
126,2,210,1458,242
127,2,209,1462,241
128,2,209,1466,250
129,2,210,1470,256
130,2,211,1475,265
131,2,211,1479,273
132,2,211,1484,275
133,2,211,1488,270
134,2,211,1493,276
135,2,210,1498,280
136,2,210,1502,272
137,2,211,1507,276
138,2,211,1511,269
139,2,212,1516,273
140,2,211,1520,275
141,2,211,1525,276
142,2,211,1530,275
143,2,211,1534,285
144,2,212,1539,281
145,2,211,1544,272
146,2,210,1548,281
147,2,209,1553,276
148,2,209,1557,267
149,2,210,1562,275
150,2,210,1566,268
151,2,210,1571,275
152,2,209,1576,278
153,2,210,1580,287
154,2,210,1585,289
155,2,210,1590,297
156,2,210,1595,288
157,2,211,1600,296
158,2,211,1605,290
159,2,211,1610,295
160,2,210,1615,304
161,2,210,1620,309
162,2,210,1625,304
163,2,211,1630,302
164,2,211,1635,296
165,2,212,1640,293
166,2,212,1645,286
167,2,212,1650,295
168,2,212,1655,303
169,2,212,1660,301
170,2,212,1665,307
171,2,212,1670,302
172,2,213,1675,298
173,2,213,1680,308
174,2,213,1685,306
175,2,214,1690,303
176,2,214,1695,310
177,2,214,1701,319
178,2,214,1706,310
179,2,215,1711,317
180,2,215,1716,312
181,2,216,1722,308
182,2,215,1727,316
183,2,216,1732,314
184,2,215,1737,304
185,2,216,1742,302
186,2,215,1747,302
187,2,215,1752,307
188,2,216,1758,311
189,2,216,1763,319
190,2,217,1768,319
191,2,217,1773,318
