frame_id,vehicle_id,world_x,world_y,speed
20,1,88,530,173
21,1,89,533,164
22,1,89,536,173
23,1,90,538,172
24,1,90,541,174
25,1,91,544,171
26,1,91,547,178
27,1,91,550,172
28,1,92,553,173
29,1,91,556,169
30,1,91,559,164
31,1,91,561,165
32,1,92,564,174
33,1,92,567,172
34,1,92,570,176
35,1,92,573,177
36,1,93,576,180
37,1,93,579,187
38,1,93,582,189
39,1,92,585,182
40,1,91,588,186
41,1,90,592,183
42,1,91,595,180
43,1,92,598,189
44,1,91,601,186
45,1,92,604,191
46,1,93,607,181
47,1,94,610,173
48,1,95,613,181
49,1,94,616,184
50,1,94,619,179
51,1,94,622,188
52,1,93,625,181
53,1,92,628,172
54,1,93,631,170
55,1,93,634,167
56,1,93,636,171
57,1,93,639,175
58,1,94,642,181
59,1,94,646,189
60,1,93,649,195
61,1,94,652,191
62,1,93,655,198
63,1,93,659,189
64,1,93,661,179
65,1,93,664,171
66,1,93,667,168
67,1,94,670,172
68,1,94,673,167
69,1,95,676,163
70,1,94,678,155
71,1,93,681,147
72,1,94,683,145
73,1,94,685,144
74,1,95,688,147
75,1,95,690,148
76,1,95,693,156
77,1,95,695,149
78,1,94,698,158
79,1,94,701,163
80,1,94,703,153
81,1,94,706,161
82,1,93,709,151
83,1,92,711,145
84,1,91,714,154
85,1,91,716,148
86,1,91,718,140
87,1,91,721,135
88,1,91,723,127
89,1,91,725,126
90,1,91,727,127
91,1,91,729,136
92,1,91,732,134
93,1,90,734,134
94,1,90,736,125
95,1,89,738,133
96,1,88,740,129
97,1,88,742,121
98,1,87,744,117
99,1,88,746,109
100,1,87,748,110
101,1,88,750,101
102,1,88,751,104
103,1,87,753,114
104,1,87,755,111
105,1,88,757,113
106,1,89,759,120
106,3,368,1418,329
107,1,88,761,114
107,3,368,1424,336
108,1,89,763,119
108,3,367,1429,331
109,1,89,765,123
109,3,368,1435,336
110,1,89,767,120
110,3,367,1440,344
111,1,89,769,117
111,3,367,1446,343
112,1,89,771,114
112,3,368,1452,339
113,1,90,773,108
113,3,369,1458,345
114,1,90,774,101
114,3,369,1463,339
115,1,90,776,104
115,3,369,1469,343
116,1,89,778,109
116,3,369,1475,337
117,1,89,780,108
117,3,369,1480,347
118,1,90,781,100
118,3,368,1486,352
119,1,90,783,92
119,3,367,1492,343
120,1,90,784,82
120,3,367,1498,350
121,1,90,786,75
121,3,367,1504,356
122,1,91,787,78
122,3,367,1510,362
123,1,90,788,72
123,3,366,1516,371
123,4,506,566,320
124,1,90,789,72
124,3,366,1522,373
